Amenities,Area_Sqft,Description,District,Ethnic,Facing,Floor,Furnishing,Keys_On_Hand,Lease,ListingTitle,NumBaths,NumBeds,Pets,Price_psf,RentalRate,Url
"Utility Room,Washer,High Floor,Stove,Fridge,Bed",689 sqft (built up),"2 + Utility Room 

- Fully Furnished
- No Air Con 
- High Floor above #10
- Available 1st March

* 10 mins walk to Tai Seng Circle Line MRT, easy commute to town. 
**Coffeeshop and Eateries at doorstep.

Welcome working professional up to 6 pax. 

Call Tessa 98783875 for a viewing now.",D13,,,,Fully Furnished,,Flexible,83 Macpherson Lane,1 Bath,2 Beds,,S$2.76 psf,"S$1,900/mo",https://www.99.co/singapore/rent/property/83-macpherson-lane-hdb-iAuNj5jPhztZmuiU9F9xy3
"Clubhouse,Function Room,Stove,Fridge,Low Floor,Oven,Parking,Security,Balcony,Fun Pool,Pool View,Renovated,Closet,Swimming Pool,TV,Sofa,Bed,Aircon,Spa Pool,Study Room,Washer,Fibre Ready,Gym,BBQ",517 sqft (built up),"Pool Facing 1 bedder + Study for rental

* Pool View
* no afternoon sun
* Cosy and windy
* Convenient yet exclusive
* fully furnished
* Available 13 Mar 2019
* Near Serangoon MRT station
* Near Stadium and NEX shopping centre
* Near Nanyang Polytechnic & Nanyang Junior College
* Near bus stop
* Within 1 km to ZhongHua Primary
* Within 2 km to CHIJ Our Lady of Good Counsel, Maris Stella High School, Paya Lebar Methodist Girls, Rosyth School, St Gabriel's Primary

Please contact Becky Fok @93691048 or Chris Low @98196796 for more details!",D19,,,03,Fully Furnished,,Flexible,Residences Botanique,1 Bath,1 Bed,,S$3.77 psf,"S$1,950/mo",https://www.99.co/singapore/rent/property/residences-botanique-condo-37KYV7PXFoh4B8gBuiezF
"Clubhouse,Stove,Fridge,Sauna,Sea View,Steam Room,Tennis Court,Parking,Security,Balcony,Aircon,Swimming Pool,Wading Pool,Jacuzzi,Playground,Fitness Corner,High Floor,Washer,Pool View,Lap Pool,Gym,BBQ","1,292 sqft (built up)","Rare, beautiful and spacious 3 bedder with unblocked sea and pool view!  Superb location!

* About 3 mins to Telok Belangah MRT
* Mins walk to Mapletree Business City, PSA Building
* 1 MRT stop away away from Harbourfront MRT (Vivocity & Sentosa)
* Near to Keppel Golf, Mount Faber Park, Labrador Park
* Blangah Rise Primary School, S P Jain School of Global Management, International School Singapore (ISS) High School are some notable schools in the vicinity
* High floor with unblocked views of the sea and surroundings.

Hurry, call me for exclusive viewing of multiple units in the project/area. Raymond 9021 6006. Your Interest is Central to how I conduct my agency business!",D04,,,,Partially Furnished,,24 months,Skyline Residences,3 Baths,3 Beds,,S$5.03 psf,"S$6,500/mo",https://www.99.co/singapore/rent/property/skyline-residences-condo-Sb44zmwACCsdQVeUZKGdZ5
"Water Feature,Gym,City View,Fridge,Low Floor,Dryer,Steam Room,Oven,Pond,Security,Balcony,Bomb Shelter,Pavilion,Aircon,Greenery View,Wading Pool,Bed,Lounge,Mini Golf Range,Utility Room,Jacuzzi,Fountain,Playground,Dining Room Furniture,Washer,Bathtub,Lap Pool,BBQ","1,873 sqft (built up)","Watermark 4bedroom  @ 1873sqft, nice renovation, 5 min to orchard / CBD / IR / SUNTEC. Immediate rental at $8,500.

● 4-bedroom ground floor with patio
● Private lift
● Master bedroom and Bedroom 2 comes with en-suite
● Dry kitchen with kitchen sink and fridge
● Wet kitchen with kitchen sink, hob, hood and oven
● Home shelter in kitchen
● Washer + Dryer + Dishwasher in yard area
● Utility room and bathroom in yard area


About Watermark Robertson Quay
Development Name:	Watermark Robertson Quay
Property Type:	Apartment
Developer:	Hong Leong Holdings Ltd
Tenure:	Freehold
Completion Year:	2008
# of Floors:	10
# of Units:	206
Watermark Robertson Quay is a Freehold condominium located at Saiboo Street in District D09. Watermark Robertson Quay is close to Chinatown MRT NE4. 

Amenities near Watermark Robertson Quay 

Watermark Robertson Quay is a short drive to UE Shopping Mall and Robertson Walk. It is also not far from several schools such as Gan Eng Seng, Zhangde Primary School and Singapore Management University. 

Watermark Robertson Quay is accessible via OutramRoad and HavelockRoad.
Available Unit Types
2-Bedrooms (82 - 100 sqm)
3-Bedrooms (100 - 147 sqm)
4-Bedrooms (161 - 175 sqft)
Condo Facilities
Fun pool
Gymnasium room
Jacuzzi
Lap pool
Lounge
Playground
Putting Green
24 hours security
Steam bath
Wading pool",D09,,,,Partially Furnished,,Flexible,Watermark Robertson Quay,3 Baths,4 Beds,,S$4.54 psf,"S$8,500/mo",https://www.99.co/singapore/rent/property/watermark-robertson-quay-condo-bkv6m3cro8w38ktuBvPJ7L
"Clubhouse,Games Room,Stove,Fridge,Jacuzzi,Steam Room,Tennis Court,Oven,Parking,Security,Balcony,Aircon,Swimming Pool,Pool Deck,Karaoke,Lounge,Mini Golf Range,Fountain,Playground,Fitness Corner,High Floor,Washer,Bowling Alley,Lap Pool,Gym,BBQ","1,518 sqft (built up)","High-floor, well-kept 4 bedder at City Square Residence, right beside City Square Mall, near to Mustafa Shopping Centre, and stone-throw to Farrer MRT Station.  Talk about amazing convenience!  City Square Mall has a hypermarket, various shops, restaurants and a cineplex - all virtually at your doorstep!

2 train stops to Dhoby Ghaut MRT Station.  Nearby schools include Farrer Park PS, Stamford PS, Saint Joseph's Institution Junior and St Margaret's PS.

Hurry, call me for exclusive viewing of multiple units in the project/area. Raymond 9021 6006. Your Interest is Central to how I conduct my agency business!",D08,,,,,,24 months,City Square Residences,2 Baths,4 Beds,,S$3.95 psf,"S$6,000/mo",https://www.99.co/singapore/rent/property/city-square-residences-condo-P8dpXRkQNrfBLHVhy9KjgQ
"Clubhouse,City View,Bathtub,Aircon,Closet,High Ceiling,Stove,Dishwasher,Fridge,Utility Room,Dryer,Fitness Corner,Tennis Court,Oven,Parking,Mid Floor,Washer,Fibre Ready,Security,BBQ","1,037 sqft (built up)","The Cathay Residences.
Convenient location - next to Dhoby Ghaut MRT Station and right in the heart of city centre & Orchard Rd .

Next to Cathay mall with cinemas and walking distance to Plaza Singapura.

Nestled within the picturesque and quiet greenery of Mount Sophia.

Full condo facilities such as, Infinity Pool, Tennis Court, Fitness Centre, BBQ Pits, Meeting Room, Internet Kiosk, Concierge Services, 24-Hour Security and Private Carpark. 

Bus and taxi stands are right at the door-step

Available 2 and 3 bedroom units of different sizes. 

Lovely city & Unblocked view.

Call Grace at 81820331 for more information and viewing.",D09,,North East,,Partially Furnished,Yes,24 months,The Cathay Residences,2 Baths,2 Beds,,S$4.34 psf,"S$4,500/mo",https://www.99.co/singapore/rent/property/the-cathay-residences-condo-z5pKjG9WMbNMuKXATenGuL
"Clubhouse,Aircon,Gym,Swimming Pool,Wading Pool,Jacuzzi,Playground,Fitness Corner,Parking,Security,Patio / PES,BBQ,Tennis Court","2,357 sqft (built up)","#Sengkang Mrt integrates with condo and shopping mall below plus bus interchange 

Please call/sms Dave Tan @ 96449717 for viewing. 

2-3 walk to Polyclinic & hawker Centre, community club, neighbourhood police post, market, 5 min drive to hospital.

North east line , one mrt stop from punggol Waterway Point, 2 stops to Hougang Mall

Direct connectivity to Mustafa and Serangoon Nexx via purple line. 

Fully furnished, ready for move in sometime in jan 2019. 
Patio unit, 3 Br plus homeshelter. 

Enjoy the convenience, Connectivity and be pampered at this location. 

",D19,,,,Fully Furnished,,Flexible,Compass Heights,3 Baths,3 Beds,,S$1.65 psf,"S$3,900/mo",https://www.99.co/singapore/rent/property/compass-heights-condo-tdtH9Mp3UiogeZGEp8Vm4L
"Penthouse,Function Room,Aircon,Closet,Swimming Pool,TV,Stove,Fridge,Bed,Aerobic Pool,Jacuzzi,High Floor,Washer,Gym,BBQ,Balcony",530 sqft (built up),"High floor unblock view 1bedrm at upper floor of penthouse.
Necessary lighting curtains and fittings are being fitted now
A house you will fall in love with.
5-6mins walk to woodleigh MRT
10-12min walk to next NEX shopping mall and interchange

Call Keane @ 9794 5752 for viewing now!",D13,,,,Partially Furnished,Yes,24 months,E Maison,1 Bath,1 Bed,Not Allowed,S$3.96 psf,"S$2,100/mo",https://www.99.co/singapore/rent/property/e-maison-condo-X35JBrN6NmXp9MgYNBDXeF
"Clubhouse,Bomb Shelter,Bathtub,Aircon,High Ceiling,Stove,City View,Fridge,Tennis Court,Fitness Corner,Parking,Mid Floor,Dishwasher,Washer,Fibre Ready,Security,BBQ","1,038 sqft (built up)","The Cathay Residences.
Convenient location - next to Dhoby Ghaut MRT Station and right in the heart of city centre & Orchard Rd .

Next to Cathay mall with cinemas and walking distance to Plaza Singapura.

Nestled within the picturesque and quiet greenery of Mount Sophia.

Full condo facilities such as, Infinity Pool, Tennis Court, Fitness Centre, BBQ Pits, Meeting Room, Internet Kiosk, Concierge Services, 24-Hour Security and Private Carpark. 

Bus and taxi stands are right at the door-step

Available 2 and 3 bedroom units of different sizes. 

Lovely city & Unblocked view.

( Photos are for illustration only )

Call Grace at 81820331 for more information and viewing.",D09,,North,,Partially Furnished,Yes,24 months,The Cathay Residences,2 Baths,2 Beds,Not Allowed,S$4.43 psf,"S$4,600/mo",https://www.99.co/singapore/rent/property/the-cathay-residences-condo-zd9AwhaSxe9ebw78iBy9ui
"Renovated,Aircon,TV,Jacuzzi,Stove,Fridge,Bed,Walk In Closet,Dryer,Tennis Court,Dining Room Furniture,Washer,Lap Pool,Security,Balcony",646 sqft (built up),"The Seawind  - East  Telok Kurau  (D15) 
Address : 72 Lorong M Telok Kurau, 425387 

1 Bedroom + 1 Study Room Ensuites Unit for Rental

Viewing timeby appointment

Please contact 98416309 for Appt, 
Please SMS/Whatapp your profile first. 

Please state "" The Seawind Rental""

1)Name & Contact No.
2)Nationality / Race  
3)Number of occupier / gender
4)Professions/Occupation  
5)Move-in date/ 
    Duration of Stay -  1 or  2 years
6) Date/Time want to view.

Other enquiry

 WhatApp/Wechat  65 98416309  
 Email: cityhisop@yahoo.com.sg
",D15,All races welcome,,,Partially Furnished,,12 months,The Seawind,1 Bath,1 Bed,Not Allowed,S$4.33 psf,"S$2,800/mo",https://www.99.co/singapore/rent/property/the-seawind-condo-7df3ZVUp7FLavKPCvJgWLi
