Amenities,Area_Sqft,Description,District,Ethnic,Facing,Floor,Furnishing,Keys_On_Hand,Lease,ListingTitle,NumBaths,NumBeds,Pets,Price_psf,RentalRate,Url
"Jogging Track,Clubhouse,Function Room,Water Feature,High Ceiling,Stove,Parking,Fridge,Karaoke,Sea View,Steam Room,Tennis Court,Oven,Dining Room Furniture,Retail Shops,Security,Sky Terrace,Fun Pool,City View,Bathtub,Renovated,Closet,TV,Sofa,Pool Deck,Bed,Spa Pool,Aircon,Dryer,Study Room,Fitness Corner,High Floor,Washer,Fibre Ready,Lap Pool,Gym,BBQ,Playground",893 sqft (built up),"New listing!

Two bed at The Sail for Rent!

Very high floor
Partial Seaview 
Just renovated 
Move in condition 
Full furnish 
Immediate 
Well connected to various mrt stations such as Raffles, Downtown and Bayfront MRT stations!

Kindly call or WhatsApp Lindy @94554388 now!
",D01,All races welcome,,,Fully Furnished,Yes,24 months,The Sail @ Marina Bay,2 Baths,2 Beds,,S$4.48 psf,"S$4,000/mo",https://www.99.co/singapore/rent/property/the-sail-marina-bay-condo-eccmAs6BoGwAKSBB5XFa56
"Security,Aircon,Closet,Maid Room,Stove,Fridge,Tennis Court,Swimming Pool,Utility Room,Dryer,Playground,Oven,Parking,Washer,Bathtub,Gym,BBQ,Balcony","2,050 sqft (built up)","For Viewing today, Call Elizabeth at  9078 1999

Spacious 3 Bedroom Apartment available to lease immediately

Beaverton Court is located at Holland Road, near Ulu Pandan Road. Besides other prime housing estates & condominiums, it shares exclusive neighbourhood with the Warren Golf Club, Singapore Polytechnic, Junior Colleges & the National University of Singapore and American & Japanese schools as well. In addition there are shopping centres and supermarkets at Pandan Valley, Ridgewood, Bukit Timah & Clementi Newtown, all within walking or easy driving distance.
Near Dover MRT and many bus services available within walking distance

For Viewing today, Call Elizabeth at 9078 1999

",D10,,,,Partially Furnished,Yes,24 months,Beaverton Court,3 Baths,3 Beds,Allowed,S$2.93 psf,"S$6,000/mo",https://www.99.co/singapore/rent/property/beaverton-court-condo-FCgKkprDAa5wmTUPTwMcTg
"Clubhouse,Renovated,Aircon,Stove,Fridge,Bed,Swimming Pool,Jacuzzi,Playground,Mid Floor,Dining Room Furniture,Washer,Gym,BBQ,Tennis Court",893 sqft (built up),"* 2 Bedder @ Reflection At Keppel Bay Condo for lease at only $4500 per month
* From living room, common toilet, common bedroom, can see rws, cruise, fireworks, cablecar, pocket seaview, greenery view. 
Master bedroom is large reflective pools and golf view
* Reflections at Keppel Bay, in all its design and architecture wonder, has just that effect. As well as being located in a dramatically developing precinct in Singapore’s Southern Waterfront, which has grabbed the attention of Asia, if not the world.
* An ingenious masterpiece, Reflections at Keppel Bay rises like an ascending symphony of chords, with its soaring towers and low-rise villa-styled apartment blocks. The alternating heights and double curvature of the towers create a unique interplay of changing light planes and reflecting angles, presenting a spectacular sight at every turn.
* Singapore’s southern waterfront is buzzing with exciting activity and dramatic transformation. It is home to the multi-billion dollar mega Resorts World Sentosa, Singapore’s largest shopping mall, VivoCity, and top tourist spot, Mount Faber.",D04,All races welcome,,,Fully Furnished,,12 months,Reflections At Keppel Bay,2 Baths,2 Beds,,S$5.04 psf,"S$4,500/mo",https://www.99.co/singapore/rent/property/reflections-at-keppel-bay-condo-6Sd6dgxj4t3moTzqx7t8fd
"Bomb Shelter,Security,Aircon,Closet,TV,Sofa,Stove,Parking,City View,Bed,Fridge,Jacuzzi,Swimming Pool,Dryer,Dining Room Furniture,High Floor,Washer,Gym,Balcony",495 sqft (built up),"Quiet (facing the back and not the busy River Valley Road), spacious 1bedroom. Good privacy 
Bright, and fully furnished with quality furniture (mostly Scanteak furniture) 

Fully furnish
lovely layout for singles or couples
Nice landlord
Available end Mar. 

Other projects in River Valley/ Newton/ Novena/ Redhill / Queenstown available
Call 8100 7000 (Grace) to enquire


Near to 3 MRT lines!!
~0.5km - furture Great World City MRT (Thomson line)
~1 km - Tiong Bahru MRT (Green line)
~1.1km - Orchard MRT (red line)


2 bus stops away from Orchard MRT or enjoy a stroll down Paterson Road, passing by luxurious condo like The Marq on Paterson Hill
2 bus stops away from Killiney Road
4-6 bus stops to Fort Canning, Liang Court, Central Mall, The Central, Robertson Walk, Clarke Quay, Boat Quay, Singapore River
5mins walk to Valley Point / Great World City (Daily Shuttle bus to City Hall / Chinatown)Numerous amentities right opposite (food eateries, 7-eleven)


Amenties close by
0.24km to Valley Point
0.46km to Great World City


Schools within 1km
River Valley Primary School (2 bus stops away)
ISSI International School (elementary)
Finnish Supplementary School
Gan Eng Seng School


1-2km:
Swedish Supplementary School
Gan Eng Seng Primary School
Crescent Girls' School
Eton House International School
University of Chicago Graduate School of Business
Chatsworth International School
Raffles Girls' School (Secondary)",D10,,,,Fully Furnished,,Flexible,Rv Suites,1 Bath,1 Bed,,S$5.86 psf,"S$2,900/mo",https://www.99.co/singapore/rent/property/rv-suites-condo-bYTLXUTzuEdcrK2tRdzqxE
"Clubhouse,High Ceiling,Stove,Fridge,Dryer,Tennis Court,Oven,Parking,Security,Basketball Court,City View,Renovated,Closet,Swimming Pool,Greenery View,Aircon,Wading Pool,Sea View,High Floor,Washer,Lap Pool,Gym,BBQ","1,173 sqft (built up)","ABOUT ALTEZ
At a staggering 250 metres, Altez brings a new perspective to the term “high-life”. The 62-storey development offers panoramic views of the sea and the city, and full condominium facilities. Just two minutes’ walk from Tanjong Pagar MRT Station, residents enjoy excellent access to the Central Business District and the Marina Coastal Expressway (MCE).

ABOUT THE LISTING
✓ Vacant unit in the heart of the Central Business District, available immediately
✓ High floor duplex with panaromic sea and city views
✓ 2 bedrooms (1,173sqft) with full condo facilities
✓ Floor to ceiling windows, wooden flooring

SELLING POINTS
✓ Easy Accessibility - 2 minutes to Tanjong Pagar train station, 5 to 7 minutes drive to Marina Bay Sands, Raffles Place, Orchard Road, MBFC and Sentosa
✓ Shopping and Food – Directly linked to Icon Village mall, close to Lau Pa Sat and Maxwell Food Centre
✓ Entertainment & Nightlife - Strategically located near numerous cafes and bars
✓ 24hr Grocery Shopping – Supermarkets within 2km (Cold Storage and Fairprice)
✓ Education – Near multiple private and primary schools
✓ Connectivity - Linked to major expressways

Open house by appointment, call 9190 0609 for viewing today!",D02,All races welcome,,44,Partially Furnished,Yes,Flexible,Altez,3 Baths,2 Beds,Allowed,S$5.97 psf,"S$7,000/mo",https://www.99.co/singapore/rent/property/altez-condo-8tGQEcWbUNArAPrgK8ot2X
"Penthouse,Roof Terrace,High Ceiling,Stove,City View,Fridge,Low Floor,Dryer,Tennis Court,Oven,Parking,Mid Floor,Dishwasher,Security,Loft,Walk In Closet,Bomb Shelter,Bathtub,Balcony,Renovated,Closet,Swimming Pool,Maid Room,Greenery View,Duplex / Maisonette,Aircon,Utility Room,Study Room,Top Floor,High Floor,Washer,Pool View,Gym,Playground","3,600 sqft (built up)","ABOUT THE COLONNADE
The Colonnade, with its unique columnar structure, is a paragon of modern city living, set amid four acres of landscaped gardens. This single 27-storey block includes some of the largest penthouses in the city.

The complexity and visual intricacies of the design by New York architect Paul Rudolph have imbued The Colonnade with iconic architectural status. Inspired by Singapore’s tropical environment, the staggering vertical height of each two-storey unit, the abundance of natural light, and large window panoramas of Singapore’s lush greenery create homes of unparalleled space and calm.

The Colonnade boasts facilities like a swimming pool, wading pool, gym, playground, tennis court, spacious grounds, covered car park, 24-hour security and maintenance concierge.

THE LISTING
✓ Luxurious 4 Bedroom + 5 Bathrooms + Helper's Room (3,600sqft)
✓ Renovated Kitchen and Bathrooms
✓ Multiple units available, view all at one go!
✓ Furniture can be included at a monthly additional cost
✓ The following will be provided prior to your move-in
- Professional cleaning
- Fresh coat of paint
- Polishing of floor
- Curtains dry-cleaned
- Ensuring all appliances are in good working order

HIGHLIGHTS
✓ Easy Accessibility - Walking distance to Somerset and Orchard train stations, minutes drive to the Central Business District
✓ Shopping and Food – 5 minutes drive to Orchard Road (Ion Orchard, Orchard Gateway, Takashimaya, 313@Somerset)
✓ 24hr Grocery Shopping – Numerous supermarkets within 2km (Cold Storage and Giant)
✓ Education – Near multiple local and international schools such as ISS International School, Raffles Girls’ Primary School, Methodist Girls’ School, Hwa Chong Institution, ACS International, German European School, Hollandse School
✓ Connectivity - Linked to major expressways and feeder bus services

Call 9190 0609 for viewing at your convenience today!",D10,All races welcome,,,Partially Furnished,Yes,Flexible,The Colonnade,5 Baths,4 Beds,Allowed,S$3.89 psf,"S$14,000/mo",https://www.99.co/singapore/rent/property/the-colonnade-condo-yLCiEDchfH6F2CRiTzxXF5
"City View,Aircon,Closet,TV,Sofa,Greenery View,Fridge,Bed,Walk In Closet,Swimming Pool,Dryer,Playground,Oven,Parking,Dining Room Furniture,Washer,Security,Balcony","1,033 sqft (built up)","NEW LISTING!

Spacious 2 bedroom unit with study room

Study room can convert into a small bedroom

Fully furnish unit

Convenient and accessible
- Mins walk to Kembangan MRT (Green line)
- lots of amenities in the vicinity

Enjoy leisure work out activities near by the park and East Coast Park via park connector

Call/SMS 93884274 to arrange for an exclusive viewing.",D14,All races welcome,,,Fully Furnished,,Flexible,Mill Creek,2 Baths,2 Beds,Allowed,S$2.61 psf,"S$2,700/mo",https://www.99.co/singapore/rent/property/mill-creek-condo-UnV3tzxJmdVExtj4vfyVQQ
"Penthouse,City View,Patio / PES,Roof Terrace,Aircon,High Ceiling,Greenery View,Gym,Fridge,Jacuzzi,Utility Room,Dryer,Oven,High Floor,Washer,Fibre Ready,Lap Pool,Stove,Balcony",S$5.78 psf,"1) Minutes walk to Newton MRT
2) Minutes walk to famous shopping district, Orchard Road
3) Concierge service available

Don't wait till another, else maybe too late!
Call/sms/whatsapp Clarence 96892566 now for viewing arrangements!!!",D09,All races welcome,,,,,Flexible,The Scotts Tower,"2,939 sqft (built up)",3 Beds,,,"S$17,000/mo",https://www.99.co/singapore/rent/property/the-scotts-tower-condo-WN2hpaJ4HKmwYLdspiJ3QN
"Clubhouse,Function Room,Roof Terrace,Water Feature,Stove,Fridge,Dryer,Oven,Parking,Security,Balcony,City View,Closet,Aircon,Greenery View,Pool Deck,Swimming Pool,Wading Pool,Jacuzzi,High Floor,Washer,Fibre Ready,Gym,BBQ",861 sqft (built up),"-Good condition unit for rent.
-Partial or fully furnish.
-Big balcony.
-Walking distance to Dhoby Ghaut MRT Station and near Bras Basah MRT Station. 
-1 min walk to Plaza Singapura, market, food centre, shop, bank, Orchard town etc.

*Pls contact Zoe @ 90861888 for viewing appointment thanks.


Condo Facilities:

Suites at Orchard has full condo facilities such as basement car park and swimming pool. 

Condo Amenities:

The schools in the vicinity include the elite St Margaret's Primary School, Chatsworth International School and Stamford Primary School. 

Suites at Orchard has a host of amenities that are readily available, such as major shopping centres, supermarkets, restaurants and eating establishments, banks, library, cinemas and other entertainment facilities that can be found at Plaza Singapura, The Cathay and Park Mall.",D09,,,,Fully Furnished,,Flexible,Suites At Orchard,1 Bath,2 Beds,,S$5.81 psf,"S$5,000/mo",https://www.99.co/singapore/rent/property/suites-at-orchard-condo-u9da9ZQdvehkDTDpHGmCiJ
"Function Room,Water Feature,High Ceiling,Gym,Fridge,Sea View,Tennis Court,Balcony,Ground Floor,Yoga Corner,Aircon,Pool Deck,Swimming Pool,Wading Pool,Jacuzzi,Playground,Fitness Corner,Sky Terrace,Lap Pool,BBQ",958 sqft (built up),"Keys on hand ! ✌

KALLANG RIVERSIDE for Rent. 
Brand new, 
just TOP
Super open perfect sea view. 
Balcony south facing, no west sun, efficient layout. 
Full facilities.

Call Yvonne Lee @ 91143941 for viewing appointment now
",D12,,South East,,Partially Furnished,Yes,Flexible,Kallang Riverside,2 Baths,2 Beds,,S$4.38 psf,"S$4,200/mo",https://www.99.co/singapore/rent/property/kallang-riverside-condo-spWYA4entTk57MATB4rtuK
